Discriminator ID,Birth,Death
419,419.0,146988.0,150442.0
420,420.0,147015.0,150410.0
421,421.0,147072.0,148503.0
422,422.0,147227.0,150103.0
423,423.0,147604.0,150172.0
424,424.0,147615.0,150500.0
425,425.0,147784.0,150386.0
426,426.0,147931.0,150435.0
427,427.0,147936.0,150405.0
428,428.0,147938.0,149153.0
429,429.0,147953.0,150481.0
430,430.0,148090.0,150164.0
431,431.0,148154.0,149155.0
432,432.0,148514.0,149746.0
433,433.0,148572.0,150114.0
434,434.0,148628.0,150819.0
435,435.0,148693.0,150444.0
436,436.0,148854.0,149871.0
437,437.0,149086.0,150087.0
438,438.0,149183.0,150184.0
439,439.0,149360.0,150400.0
440,440.0,149386.0,150387.0
441,441.0,149449.0,150477.0
442,442.0,149472.0,150837.0
443,443.0,149500.0,150805.0
444,444.0,149502.0,150802.0
445,445.0,149578.0,150587.0
446,446.0,149837.0,150857.0
447,447.0,149857.0,343984.0
448,448.0,150107.0,152843.0
449,449.0,342984.0,347872.0
450,450.0,342990.0,347613.0
451,451.0,343014.0,347619.0
452,452.0,343403.0,346516.0
453,453.0,343533.0,347601.0
454,454.0,343542.0,344545.0
455,455.0,343554.0,344838.0
456,456.0,343559.0,347607.0
457,457.0,343567.0,344701.0
458,458.0,343578.0,349952.0
459,459.0,343725.0,350377.0
460,460.0,343769.0,347562.0
461,461.0,343822.0,347653.0
462,462.0,343854.0,344859.0
463,463.0,343925.0,345187.0
464,464.0,344188.0,345921.0
465,465.0,344353.0,350359.0
466,466.0,344467.0,347599.0
467,467.0,344492.0,345594.0
468,468.0,344506.0,345587.0
469,469.0,344600.0,347305.0
470,470.0,344719.0,347437.0
471,471.0,344757.0,345758.0
472,472.0,344833.0,345869.0
473,473.0,344837.0,346784.0
474,474.0,344875.0,345876.0
475,475.0,344883.0,345915.0
476,476.0,345298.0,347552.0
477,477.0,345431.0,347871.0
478,478.0,345467.0,346579.0
479,479.0,345545.0,350318.0
480,480.0,345585.0,346742.0
481,481.0,345889.0,347018.0
482,482.0,345899.0,347253.0
483,483.0,346168.0,347388.0
484,484.0,346253.0,347862.0
485,485.0,346316.0,349756.0
486,486.0,346362.0,347500.0
487,487.0,346366.0,347367.0
488,488.0,346501.0,347657.0
489,489.0,346657.0,347755.0
490,490.0,347907.0,350350.0
491,491.0,347910.0,348911.0
492,492.0,347933.0,350345.0
493,493.0,347946.0,349757.0
494,494.0,348783.0,350381.0
495,495.0,348801.0,350357.0
496,496.0,348817.0,350374.0
497,497.0,348923.0,350368.0
498,498.0,349052.0,350062.0
499,499.0,349359.0,350370.0
500,500.0,349381.0,350382.0
501,501.0,349382.0,370927.0
502,502.0,369927.0,370938.0
503,503.0,369929.0,370930.0
504,504.0,369930.0,370958.0
505,505.0,369958.0,370983.0
506,506.0,369983.0,371057.0
507,507.0,370055.0,371059.0
508,508.0,370057.0,371058.0
509,509.0,370059.0,371159.0
510,510.0,370159.0,371383.0
511,511.0,370244.0,371437.0
512,512.0,370252.0,371448.0
513,513.0,370263.0,371264.0
514,514.0,370268.0,371460.0
515,515.0,370277.0,371379.0
516,516.0,370383.0,371410.0
517,517.0,370384.0,371407.0
518,518.0,370405.0,371406.0
519,519.0,370414.0,371459.0
520,520.0,370450.0,371451.0
521,521.0,370457.0,371458.0
522,522.0,370460.0,371478.0
523,523.0,370478.0,372279.0
524,524.0,371279.0,373173.0
525,525.0,371378.0,372397.0
526,526.0,371397.0,373239.0
527,527.0,371457.0,373101.0
528,528.0,371461.0,372813.0
529,529.0,371467.0,372794.0
530,530.0,371625.0,373169.0
531,531.0,371714.0,373235.0
532,532.0,371718.0,372719.0
